date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:44:48	25835/25835	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%220baa799171fdff4c6ea79b5de252d482%22	http://www.mervynupton.co.uk/films/%22//www.youtube.com/embed/PBCm0j2DlW8?wmode=opaque&enablejsapi=1%22	Desktop/mervyn-upton/www.mervynupton.co.uk/films/_/www.youtube.com/embed/PBCm0j2DlW8.6e8344.delayed	(from http://www.mervynupton.co.uk/films/)
18:44:49	381/381	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2015%20Aug%202018%2017:44:49%20UTC	http://www.mervynupton.co.uk/%22//www.youtube.com/embed/AU2ueUADlk0?wmode=opaque&amp;enablejsapi=1\%22	Desktop/mervyn-upton/www.mervynupton.co.uk/_/www.youtube.com/embed/AU2ueUADlk0.6f9ae1.delayed	(from http://www.mervynupton.co.uk/films/)
18:44:51	25835/25835	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%220baa799171fdff4c6ea79b5de252d482%22	http://www.mervynupton.co.uk/films/%22//www.youtube.com/embed/AU2ueUADlk0?wmode=opaque&enablejsapi=1%22	Desktop/mervyn-upton/www.mervynupton.co.uk/films/_/www.youtube.com/embed/AU2ueUADlk0.708344.delayed	(from http://www.mervynupton.co.uk/films/)
18:44:52	381/381	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2015%20Aug%202018%2017:44:52%20UTC	http://www.mervynupton.co.uk/%22//www.youtube.com/embed/_47RdR72wjU?wmode=opaque&amp;enablejsapi=1\%22	Desktop/mervyn-upton/www.mervynupton.co.uk/_/www.youtube.com/embed/_47RdR72wjU.719ae1.delayed	(from http://www.mervynupton.co.uk/films/)
18:44:53	25835/25835	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%220baa799171fdff4c6ea79b5de252d482%22	http://www.mervynupton.co.uk/films/%22//www.youtube.com/embed/_47RdR72wjU?wmode=opaque&enablejsapi=1%22	Desktop/mervyn-upton/www.mervynupton.co.uk/films/_/www.youtube.com/embed/_47RdR72wjU.728344.delayed	(from http://www.mervynupton.co.uk/films/)
18:44:54	381/381	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2015%20Aug%202018%2017:44:54%20UTC	http://www.mervynupton.co.uk/%22//www.youtube.com/embed/E2JAoqAYudI?wmode=opaque&amp;enablejsapi=1\%22	Desktop/mervyn-upton/www.mervynupton.co.uk/_/www.youtube.com/embed/E2JAoqAYudI.739ae1.delayed	(from http://www.mervynupton.co.uk/films/)
18:44:55	25835/25835	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%220baa799171fdff4c6ea79b5de252d482%22	http://www.mervynupton.co.uk/films/%22//www.youtube.com/embed/E2JAoqAYudI?wmode=opaque&enablejsapi=1%22	Desktop/mervyn-upton/www.mervynupton.co.uk/films/_/www.youtube.com/embed/E2JAoqAYudI.748344.delayed	(from http://www.mervynupton.co.uk/films/)
18:44:56	381/381	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2015%20Aug%202018%2017:44:56%20UTC	http://www.mervynupton.co.uk/%22//www.youtube.com/embed/Fb6MIn7TFDE?wmode=opaque&amp;enablejsapi=1\%22	Desktop/mervyn-upton/www.mervynupton.co.uk/_/www.youtube.com/embed/Fb6MIn7TFDE.759ae1.delayed	(from http://www.mervynupton.co.uk/films/)
18:44:57	25835/25835	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%220baa799171fdff4c6ea79b5de252d482%22	http://www.mervynupton.co.uk/films/%22//www.youtube.com/embed/Fb6MIn7TFDE?wmode=opaque&enablejsapi=1%22	Desktop/mervyn-upton/www.mervynupton.co.uk/films/_/www.youtube.com/embed/Fb6MIn7TFDE.768344.delayed	(from http://www.mervynupton.co.uk/films/)
18:44:58	381/381	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2015%20Aug%202018%2017:44:58%20UTC	http://www.mervynupton.co.uk/%22//www.youtube.com/embed/4YERhkcXQ38?wmode=opaque&amp;enablejsapi=1\%22	Desktop/mervyn-upton/www.mervynupton.co.uk/_/www.youtube.com/embed/4YERhkcXQ38.779ae1.delayed	(from http://www.mervynupton.co.uk/films/)
